"","-1","1","MeanDecreaseAccuracy","MeanDecreaseGini","N"
"ndai",700.88180112978,85.6739960736427,221.634444559997,10592.2939341788,31
"corr",51.2791045496588,108.518258648838,72.4388261371962,6006.32961041209,31
"df",73.4298943759363,110.08338554862,92.828205077417,3219.21893193705,31
"ndai",734.40936137101,90.8644951415697,232.329486861612,10103.3905749501,32
"corr",61.3551816994293,112.525288659241,84.9005451092198,6464.56136082785,32
"df",69.3370022668677,114.297521146847,87.6065469066233,3197.24100036104,32
"ndai",722.944705951792,82.7044110290213,218.740967818379,9871.01845762169,33
"corr",58.1655281719611,130.222417350134,78.6983139740396,6786.68703376607,33
"df",78.4479363497593,109.418124831122,95.7611917188814,3132.71915127736,33
"ndai",717.48565828999,76.9796276380518,211.210034044165,10124.3804122186,34
"corr",54.7367521133502,119.323193729778,76.4934131312723,6400.21015640674,34
"df",83.549226219707,117.268875159554,103.716750023538,3234.77866453632,34
"ndai",738.075233540324,86.0201738695355,222.389195235328,10137.6662849889,35
"corr",52.7224469950605,119.593476034475,74.672578651779,6479.27817457686,35
"df",81.5894802844509,116.939986920366,99.1778268366591,3159.22448747987,35
"ndai",666.242014704924,67.0548911004705,191.837911449762,10142.2381723353,36
"corr",55.9546387116442,117.980626669783,74.8796039644711,6434.89235918837,36
"df",73.3768603985138,110.690921652974,90.3975240048119,3235.27608995732,36
"ndai",693.830098486915,93.7118673629043,235.579381495902,10178.3222553012,37
"corr",53.0609333909574,121.274383260755,76.9936077120678,6443.01493473197,37
"df",70.1723378022522,107.338492584913,89.1907232194412,3151.80427357878,37
"ndai",710.429667742077,70.1581829737787,192.844798858199,10293.521793131,38
"corr",51.9589915377666,127.387929934422,70.5935845249031,6396.26032079884,38
"df",71.0069170250389,112.619476107958,88.6757908081041,3086.58872078948,38
"ndai",757.078832381731,83.9090953352377,226.158424016336,10083.8984227945,39
"corr",56.1229458856674,129.289883345025,78.8760613013447,6445.50114930344,39
"df",76.2236957684059,111.220036271674,96.1422291374252,3242.62682722727,39
"ndai",788.099388084954,70.220784795288,204.603730908361,10408.6911585983,40
"corr",63.2528130703746,110.824357039683,87.0119964708397,6129.28662446579,40
"df",68.4029945879737,117.2584905636,88.0598315514611,3235.93119174215,40
"ndai",766.649039557927,64.2733934067247,190.074736010891,10222.4955375997,41
"corr",62.451216401792,127.975725832766,80.7483036501369,6415.48625134205,41
"df",81.5867411690086,114.049833515408,99.5664626862036,3193.44180403688,41
"ndai",799.625663024494,76.9704820543472,209.287582290635,10161.0310052609,42
"corr",55.7333106116891,116.876896413412,75.1107104932267,6459.54751973878,42
"df",73.6947550925046,108.474595605384,91.6786525764329,3159.53285211159,42
"ndai",783.895540132874,72.965703882268,200.994767070865,10393.3342113551,43
"corr",57.3847174161129,125.781717335325,76.9580381366248,6131.1730657695,43
"df",64.4933334599587,110.806870374614,81.8625844243536,3247.04984037432,43
"ndai",745.257983781231,74.6514946319846,205.712022063612,10073.4609047224,44
"corr",54.3653385077879,117.055765192843,75.3545917780541,6477.78350966271,44
"df",77.8338283139675,114.510459202287,99.5555544503718,3223.69819859113,44
"ndai",770.666090464891,65.9278844976878,191.889178446241,10349.0409600131,45
"corr",60.9741960158402,122.658289772264,81.9742995698618,6228.93243686017,45
"df",79.4125875283384,121.959901275546,100.912664318882,3202.33879582752,45
"ndai",765.144772105518,73.8798541453682,198.51787724452,10087.5660411046,46
"corr",54.6887427000428,125.083036724256,74.4097251135213,6554.05744022985,46
"df",78.3952235492944,101.019027551043,95.9171149768266,3220.06269780553,46
"ndai",751.999583792442,74.3793221846321,207.640241218885,10237.8694324016,47
"corr",58.6569608749,130.029075041734,77.5351245429261,6412.34614018367,47
"df",76.8672353053494,106.019838413816,93.022251787273,3110.84872750498,47
"ndai",747.849437691051,85.6330674316397,222.638817489831,9940.29425012439,48
